T(K),Z*10^-4reported,Resist.(Ohm.cm),Seebeck(uV/K),kappaZT,Resist.(400K),Seebeck(400K),Pf(W/K^2/m),ZT,kappa(W/mK),Conduct.(S/cm),CellVolume(A^3),FormulaUnitsperCell,Atomsperformulaunit,totalatomsperunitcell
400,0.85,0.00544,161,1.91E-01,23.73,-50.67,4.76E-04,0.164306542,1.16,1.84E+02,770.68,2,13,26
700,0.85,0.00733,200.8,3.85E-01,23.73,-50.67,5.50E-04,0.469577879,0.82,1.36E+02,770.68,2,13,26
1000,0.85,0.00939,207,4.56E-01,23.73,-50.67,4.56E-04,0.649112203,0.703,1.07E+02,770.68,2,13,26
300,0.85,0.887847148,-413.39,5.77E-03,23.73,-50.67,1.92E-05,0.20,4.22,1.13E+04,101.11,2,5,10
400,0.85,0.491905692,-402.83,1.32E-02,23.73,-50.67,3.30E-05,0.20,4.22,2.03E+04,101.11,2,5,10
700,0.85,0.179726815,-370.39,5.34E-02,23.73,-50.67,7.63E-05,0.20,4.22,5.56E+04,101.11,2,5,10
1000,0.85,0.138108766,-371.87,1.00E-01,23.73,-50.67,1.00E-04,0.20,4.22,7.24E+04,101.11,2,5,10
300,0.85,0.376396903,-366.46,1.07E-02,23.73,-50.67,3.57E-05,0.001368757,7.82,2.66E+04,101.11,2,5,10
400,0.85,0.21392342,-343.86,2.21E-02,23.73,-50.67,5.53E-05,0.003218108,6.87,4.67E+04,101.11,2,5,10
700,0.85,0.09422584,-322.97,7.75E-02,23.73,-50.67,1.11E-04,0.016487796,4.7,1.06E+05,101.11,2,5,10
1000,0.85,0.072099613,-328.38,1.50E-01,23.73,-50.67,1.50E-04,0.04224856,3.54,1.39E+05,101.11,2,5,10
300,0.85,0.41152094,-335.01,8.18E-03,23.73,-50.67,2.73E-05,0.00128041,6.39,2.43E+04,101.11,2,5,10
400,0.85,0.205898583,-308.72,1.85E-02,23.73,-50.67,4.63E-05,0.00312239,5.93,4.86E+04,101.11,2,5,10
700,0.85,0.075870807,-292.02,7.87E-02,23.73,-50.67,1.12E-04,0.018127751,4.34,1.32E+05,101.11,2,5,10
1000,0.85,0.057563565,-294.72,1.51E-01,23.73,-50.67,1.51E-04,0.045042023,3.35,1.74E+05,101.11,2,5,10
300,0.85,1,-427.64,5.49E-03,23.73,-50.67,1.83E-05,0.20,4.22,1.00E+04,303.23,6,5,30
400,0.85,0.515440005,-413.39,1.33E-02,23.73,-50.67,3.32E-05,0.20,4.22,1.94E+04,303.23,6,5,30
700,0.85,0.213016592,-373.83,4.59E-02,23.73,-50.67,6.56E-05,0.20,4.22,4.69E+04,303.23,6,5,30
1000,0.85,0.162304991,-374.57,8.64E-02,23.73,-50.67,8.64E-05,0.20,4.22,6.16E+04,303.23,6,5,30
300,0.85,0.467457917,-364.5,8.53E-03,23.73,-50.67,2.84E-05,0.001246546,6.84,2.14E+04,303.23,6,5,30
400,0.85,0.263429643,-335.5,1.71E-02,23.73,-50.67,4.27E-05,0.002770165,6.17,3.80E+04,303.23,6,5,30
700,0.85,0.107489318,-317.81,6.58E-02,23.73,-50.67,9.40E-05,0.015587038,4.22,9.30E+04,303.23,6,5,30
1000,0.85,0.087288979,-323.46,1.20E-01,23.73,-50.67,1.20E-04,0.038917217,3.08,1.15E+05,303.23,6,5,30
300,0.85,0.000588239,-26.52,3.59E-02,23.73,-50.67,1.20E-04,0.015529759,2.31,1.70E+03,1193,1,55,55
400,0.85,0.000660331,-33.75,6.90E-02,23.73,-50.67,1.72E-04,0.029608249,2.33,1.51E+03,1193,1,55,55
700,0.85,0.00087797,-53.15,2.25E-01,23.73,-50.67,3.22E-04,0.091565242,2.46,1.14E+03,1193,1,55,55
1000,0.85,0.0011173,-79.05,5.59E-01,23.73,-50.67,5.59E-04,0.217595686,2.57,8.95E+02,1193,1,55,55
300,0.85,2.91889,-752.2,5.82E-03,23.73,-50.67,1.94E-05,0.00019646,29.6,3.43E-01,189.28,2,7,14
400,0.85,2.16164,-618.43,7.08E-03,23.73,-50.67,1.77E-05,0.000516571,13.7,4.63E-01,189.28,2,7,14
700,0.85,0.0243757,-99.7,2.85E-02,23.73,-50.67,4.08E-05,0.006813229,4.19,4.10E+01,189.28,2,7,14
1000,0.85,0.00158489,26.27,4.35E-02,23.73,-50.67,4.35E-05,0.011049908,3.94,6.31E+02,189.28,2,7,14
300,0.85,0.0594173,-249.39,3.14E-02,23.73,-50.67,1.05E-04,0.003200812,9.811,1.68E+01,189.28,2,7,14
400,0.85,0.038248,-182.68,3.49E-02,23.73,-50.67,8.72E-05,0.00434609,8.03,2.61E+01,189.28,2,7,14
700,0.85,0.0216164,-98.5,3.14E-02,23.73,-50.67,4.49E-05,0.005984998,5.25,4.63E+01,189.28,2,7,14
1000,0.85,0.0229546,-82.67,2.98E-02,23.73,-50.67,2.98E-05,0.007630344,3.902,4.36E+01,189.28,2,7,14
300,0.85,0.189785,-343.22,1.86E-02,23.73,-50.67,6.21E-05,0.001088945,17.1,5.27E+00,189.28,2,7,14
400,0.85,0.140548,-294.38,2.47E-02,23.73,-50.67,6.17E-05,0.002221923,11.1,7.12E+00,189.28,2,7,14
700,0.85,0.0763148,-175.63,2.83E-02,23.73,-50.67,4.04E-05,0.005420334,5.22,1.31E+01,189.28,2,7,14
1000,0.85,0.0371163,-63.68,1.09E-02,23.73,-50.67,1.09E-05,0.003009932,3.63,2.69E+01,189.28,2,7,14
300,0.85,0.00053,-45,1.15E-01,23.73,-50.67,3.82E-04,0.047719668,2.402,1.89E+03,893.06,4,7,28
