id,TK,SeebeckuVK,kappaZT,Resist.400K,Seebeck400K,PfWK2m,ZT,kappaWmK,CellVolumeA3,FormulaUnitsperCell
1064,400,-89,1.18E-01,23.73,-50.67,2.96E-04,0.101046052,1.17,893.06,4
1065,700,-159,4.16E-01,23.73,-50.67,5.95E-04,0.416392941,1,893.06,4
1066,1000,-215,7.23E-01,23.73,-50.67,7.23E-04,0.810073831,0.893,893.06,4
1067,300,-210,4.46E-03,23.73,-50.67,1.49E-05,0.001603781,2.78,47.62,2
1068,400,-220,9.95E-03,23.73,-50.67,2.49E-05,0.003703402,2.687,47.62,2
1069,700,-268,7.70E-02,23.73,-50.67,1.10E-04,0.033716067,2.283,47.62,2
1070,1000,-316,8.14E-01,23.73,-50.67,8.14E-04,0.426280342,1.9089,47.62,2
1071,300,-92.4,9.06E-02,23.73,-50.67,3.02E-04,0.054370144,1.667,610.4,5
1072,300,-186,9.88E-03,23.73,-50.67,3.29E-05,0.005928401,1.667,610.4,5
1073,400,-194,1.03E-01,23.73,-50.67,2.58E-04,0.050985445,2.0205,610.4,5
1074,700,-201,2.02E+00,23.73,-50.67,2.89E-03,0.930169913,2.1717,610.4,5
1075,300,-220,2.35E-02,23.73,-50.67,7.82E-05,0.014075777,1.667,610.4,5
1076,400,-220,1.19E-01,23.73,-50.67,2.98E-04,0.059052551,2.0205,610.4,5
1077,700,-216,4.08E-01,23.73,-50.67,5.83E-04,0.187981765,2.1717,610.4,5
1078,300,-19,9.50E-03,23.73,-50.67,3.17E-05,0.003877551,2.45,735.99,2
1079,300,-107,6.87E-02,23.73,-50.67,2.29E-04,0.038163333,1.8,597.36,4
1080,300,120.75,3.71E-01,23.73,-50.67,1.24E-03,0.151567098,2.44922,169.78,4
1081,400,138.43,5.93E-01,23.73,-50.67,1.48E-03,0.235493287,2.51953,169.78,4
1082,700,191.49,1.44E+00,23.73,-50.67,2.05E-03,0.55966257,2.56641,169.78,4
1083,1000,231.64,2.16E+00,23.73,-50.67,2.16E-03,0.845526008,2.55469,169.78,4
