id,T(K),Z*10^-4reported,Seebeck(uV/K),kappaZT,Resist.(400K),Seebeck(400K),Pf(W/K^2/m),ZT,kappa(W/mK)
33,700,0.85,77.37,8.61E-02,0.012343,102.59,1.23E-04,0.024636562,3.49599
34,1000,0.85,79.49,1.63E-01,0.012343,102.59,1.63E-04,0.063968983,2.54979
35,300,0.85,-572.04,1.96E-03,2.925075,-549.12,6.53E-06,0.20,4.22
36,400,0.85,-549.12,4.12E-03,2.925075,-549.12,1.03E-05,0.001247231,3.30607
37,700,0.85,-477.48,2.48E-02,2.925075,-549.12,3.54E-05,0.012122034,2.04673
38,1000,0.85,-406.81,1.50E-01,2.925075,-549.12,1.50E-04,0.089158798,1.67874
39,300,0.85,-100.04,1.48E-02,0.021537,-119.21,4.92E-05,0.005877928,2.51281
40,400,0.85,-119.21,2.64E-02,0.021537,-119.21,6.60E-05,0.011603063,2.27454
41,700,0.85,-184.31,9.18E-02,0.021537,-119.21,1.31E-04,0.048845628,1.87848
42,1000,0.85,-205.16,1.58E-01,0.021537,-119.21,1.58E-04,0.091024352,1.73598
43,300,0.85,-91.19,2.81E-02,0.009824,-114.15,9.38E-05,0.012410311,2.2675
44,400,0.85,-114.15,5.31E-02,0.009824,-114.15,1.33E-04,0.024563669,2.16005
45,700,0.85,-164.08,1.51E-01,0.009824,-114.15,2.15E-04,0.080246985,1.8785
46,1000,0.85,-172.3,2.04E-01,0.009824,-114.15,2.04E-04,0.120991889,1.6869
47,300,0.85,-72.23,2.14E-02,0.007258,-72.44,7.12E-05,0.20,4.22
48,400,0.85,-72.44,2.89E-02,0.007258,-72.44,7.23E-05,0.20,4.22
49,700,0.85,-80.65,5.97E-02,0.007258,-72.44,8.52E-05,0.20,4.22
50,1000,0.85,-92.67,1.03E-01,0.007258,-72.44,1.03E-04,0.20,4.22
51,300,0.85,-180,4.86E-02,0.0215409,-203.88,1.62E-04,0.01944,2.5
52,400,0.85,-203.88,7.72E-02,0.021541,-203.88,1.93E-04,0.03719487,2.07513
53,700,0.85,-234.57,1.36E-01,0.021541,-203.88,1.94E-04,0.083293437,1.63069
54,1000,0.85,-248.22,2.00E-01,0.021541,-203.88,2.00E-04,0.144503757,1.38075
55,400,0.85,-153.66,5.14E-02,0.01837,-153.66,1.29E-04,0.20,4.22
56,700,0.85,-195.78,1.11E-01,0.018366,-153.66,1.59E-04,0.20,4.22
57,1000,0.85,-213.72,1.63E-01,0.018366,-153.66,1.63E-04,0.20,4.22
58,400,0.85,-119.99,7.66E-02,0.007521,-119.99,1.91E-04,0.020374273,3.75786
59,700,0.85,-137.22,1.29E-01,0.007521,-119.99,1.85E-04,0.039949192,3.23973
60,1000,0.85,-152.89,1.84E-01,0.007521,-119.99,1.84E-04,0.063883122,2.88165
61,400,0.85,-101.6,6.25E-02,0.006602,-101.6,1.56E-04,0.20,4.22
62,700,0.85,-122.22,1.17E-01,0.006602,-101.6,1.67E-04,0.20,4.22
63,1000,0.85,-144.55,1.83E-01,0.006602,-101.6,1.83E-04,0.20,4.22
64,400,0.85,-60.57,3.71E-02,0.003956,-60.57,9.27E-05,0.20,4.22
65,700,0.85,-81.62,8.81E-02,0.003956,-60.57,1.26E-04,0.20,4.22
66,1000,0.85,-101.82,1.54E-01,0.003956,-60.57,1.54E-04,0.20,4.22
67,400,0.85,-35.67,1.64E-02,0.003105,-35.67,4.10E-05,0.20,4.22
68,700,0.85,-55.87,5.42E-02,0.003105,-35.67,7.75E-05,0.20,4.22
69,1000,0.85,-67.87,9.13E-02,0.003105,-35.67,9.13E-05,0.20,4.22
70,300,0.85,-211.97,4.41E-02,0.027541,-215.39,1.47E-04,0.20,4.22
71,400,0.85,-215.39,6.74E-02,0.027541,-215.39,1.68E-04,0.20,4.22
72,700,0.85,-227.92,1.65E-01,0.027541,-215.39,2.35E-04,0.20,4.22
73,1000,0.85,-235.33,2.44E-01,0.027541,-215.39,2.44E-04,0.20,4.22
74,300,0.85,-162.39,5.32E-02,0.012874,-163.53,1.77E-04,0.029786338,1.78652
75,400,0.85,-163.53,8.31E-02,0.012874,-163.53,2.08E-04,0.051454878,1.6149
76,700,0.85,-172.65,1.79E-01,0.012874,-163.53,2.56E-04,0.13283632,1.34638
77,1000,0.85,-172.65,2.82E-01,0.012874,-163.53,2.82E-04,0.220343013,1.28033
78,300,0.85,-104.27,2.24E-02,0.011351356,-118.52,7.48E-05,0.00787002,2.84951
79,400,0.85,-118.52,4.95E-02,0.011351356,-118.52,1.24E-04,0.019260696,2.5699
80,700,0.85,-144.73,1.69E-01,0.011351356,-118.52,2.42E-04,0.079142343,2.1394
81,1000,0.85,-144.73,2.36E-01,0.011351356,-118.52,2.36E-04,0.121469186,1.94512
82,400,0.85,23.09,1.21E-02,0.001177,23.09,3.03E-05,0.20,4.22
83,700,0.85,32.45,3.82E-02,0.001177,23.09,5.46E-05,0.20,4.22
84,1000,0.85,39.96,7.84E-02,0.001177,23.09,7.84E-05,0.20,4.22
85,400,0.85,21.17,1.53E-02,0.001759,21.17,3.83E-05,0.20,4.22
86,700,0.85,30.25,4.78E-02,0.001759,21.17,6.83E-05,0.20,4.22
87,1000,0.85,35.44,8.21E-02,0.001759,21.17,8.21E-05,0.20,4.22
88,400,0.85,17.72,3.90E-03,0.003218,17.72,9.75E-06,0.20,4.22
89,700,0.85,29.32,1.94E-02,0.003218,17.72,2.77E-05,0.20,4.22
90,1000,0.85,38.96,5.10E-02,0.003218,17.72,5.10E-05,0.20,4.22
91,400,0.85,19.3,8.80E-03,0.001693,19.3,2.20E-05,0.20,4.22
92,700,0.85,29.32,3.40E-02,0.001693,19.3,4.86E-05,0.20,4.22
93,1000,0.85,35.86,7.10E-02,0.001693,19.3,7.10E-05,0.20,4.22
94,400,0.85,-1.64,2.18E-04,0.00049075,-1.64,5.46E-07,0.20,4.22
95,700,0.85,5.38,3.52E-03,0.00049075,-1.64,5.03E-06,0.20,4.22
96,1000,0.85,12.43,2.25E-02,0.00049075,-1.64,2.25E-05,0.20,4.22
97,400,0.85,21.46,1.82E-02,0.00101116,21.46,4.55E-05,0.20,4.22
98,700,0.85,15.29,1.56E-02,0.00101116,21.46,2.22E-05,0.20,4.22
99,1000,0.85,17.26,2.50E-02,0.00101116,21.46,2.50E-05,0.20,4.22
100,400,0.85,15.44,4.78E-03,0.0019954,15.44,1.20E-05,0.20,4.22
101,700,0.85,17.15,1.08E-02,0.0019954,15.44,1.55E-05,0.20,4.22
102,1000,0.85,17.21,1.48E-02,0.0019954,15.44,1.48E-05,0.20,4.22
103,400,0.85,270,5.09E-04,5.732274775,270,1.27E-06,0.20,4.22
104,700,0.85,21.92,1.18E-04,5.732274775,270,1.69E-07,0.20,4.22
105,1000,0.85,17.26,3.52E-04,5.732274775,270,3.52E-07,0.20,4.22
106,300,0.85,210,6.62E-04,2,40,2.21E-06,0.20,4.22
107,400,0.85,40,2.56E-04,2,40,6.40E-07,0.20,4.22
108,700,0.85,22.7,2.12E-03,2,40,3.03E-06,0.20,4.22
109,1000,0.85,26.5,6.95E-03,2,40,6.95E-06,0.20,4.22
110,300,0.85,173.9,5.91E-04,0.38,59.3,1.97E-06,0.20,4.22
111,400,0.85,59.3,3.70E-04,0.38,59.3,9.25E-07,0.20,4.22
112,700,0.85,22,1.09E-03,0.38,59.3,1.56E-06,0.20,4.22
113,400,0.85,-90.28,2.73E-02,0.119152,-90.28,6.83E-05,0.01132081,2.41307
114,700,0.85,-123.85,6.17E-02,0.119152,-90.28,8.81E-05,0.02553619,2.41558
115,1000,0.85,-130.04,7.93E-02,0.119152,-90.28,7.93E-05,0.03329024,2.38232
116,400,0.85,-90.28,3.03E-02,0.107849,-90.28,7.58E-05,0.019099891,1.5871
117,700,0.85,-123.85,7.00E-02,0.107849,-90.28,1.00E-04,0.039875867,1.75635
118,1000,0.85,-130.04,9.19E-02,0.107849,-90.28,9.19E-05,0.049893485,1.84225
119,400,0.85,-90.28,4.67E-02,0.070644,-90.28,1.17E-04,0.022586208,2.06759
120,700,0.85,-123.85,1.09E-01,0.070644,-90.28,1.56E-04,0.050077248,2.18525
121,1000,0.85,-130.04,1.35E-01,0.070644,-90.28,1.35E-04,0.060406906,2.23936
122,400,0.85,-90.28,8.04E-02,0.040973,-90.28,2.01E-04,0.049042114,1.63871
123,700,0.85,-123.85,1.79E-01,0.040973,-90.28,2.56E-04,0.111359887,1.60943
124,1000,0.85,-130.04,2.05E-01,0.040973,-90.28,2.05E-04,0.128986958,1.58808
125,400,0.85,-600.16,3.13E-02,0.460937,-600.16,7.81E-05,0.010513925,2.97299
126,700,0.85,-374.8,4.22E-02,0.460937,-600.16,6.03E-05,0.019480754,2.16539
127,1000,0.85,-320.53,1.23E-01,0.460937,-600.16,1.23E-04,0.058867739,2.09242
128,300,0.657626,-74.98,2.93E-02,0.00638941,-93.82,9.76E-05,0.01972878,1.48358962
129,400,0.876848,-93.82,5.51E-02,0.00638941,-93.82,1.38E-04,0.03507392,1.571097028
130,700,1.18448,-124.55,1.31E-01,0.00638941,-93.82,1.87E-04,0.0829136,1.574660559
131,1000,1.41281,-152.37,2.27E-01,0.00638941,-93.82,2.27E-04,0.141281,1.604043252
132,300,0.162774,-46.31,1.06E-02,0.00549942,-44.36,3.53E-05,0.00488322,2.170001556
133,400,0.244057,-44.36,1.43E-02,0.00549942,-44.36,3.58E-05,0.00976228,1.465854004
134,700,0.39825,-55.34,4.08E-02,0.00549942,-44.36,5.82E-05,0.0278775,1.462482104
135,1000,0.495538,-68.2,8.33E-02,0.00549942,-44.36,8.33E-05,0.0495538,1.680820436
136,300,0.473219,-72.01,2.32E-02,0.00739839,-81.79,7.75E-05,0.01419657,1.637290898
137,400,0.585012,-81.79,3.62E-02,0.00739839,-81.79,9.04E-05,0.02340048,1.545616006
138,700,0.714005,-101.47,7.59E-02,0.00739839,-81.79,1.08E-04,0.04998035,1.518351106
139,1000,0.770762,-114.58,1.13E-01,0.00739839,-81.79,1.13E-04,0.0770762,1.470944215
140,300,0.173956,-43.69,1.12E-02,0.0043952,-45.05,3.73E-05,0.00521868,2.143851851
141,400,0.302948,-45.05,1.85E-02,0.0043952,-45.05,4.62E-05,0.01211792,1.524264065
142,700,0.486978,-50.98,4.83E-02,0.0043952,-45.05,6.90E-05,0.03408846,1.416678012
143,1000,0.61941,-64.7,9.91E-02,0.0043952,-45.05,9.91E-05,0.061941,1.599402623
144,300,0.763717,-70.53,3.41E-02,0.00477637,-81.71,1.14E-04,0.02291151,1.488878233
145,400,0.943053,-81.71,5.59E-02,0.00477637,-81.71,1.40E-04,0.03772212,1.482392228
146,700,1.3433,-112.78,1.51E-01,0.00477637,-81.71,2.15E-04,0.094031,1.600767692
147,1000,1.58857,-135.59,2.59E-01,0.00477637,-81.71,2.59E-04,0.158857,1.629157717
148,300,0.126573,-41.61,6.81E-03,0.00649209,-41.63,2.27E-05,0.00379719,1.793253904
149,400,0.181921,-41.63,1.07E-02,0.00649209,-41.63,2.67E-05,0.00727684,1.46749541
150,700,0.289423,-52.45,3.07E-02,0.00649209,-41.63,4.38E-05,0.02025961,1.514920146
