T (K),Z*10^-4 reported,Resist. (Ohm.cm),Seebeck (uV/K),kappaZT,,Resist. (400K),Seebeck (400K),Pf (W/K^2/m),ZT,kappa (W/mK),T Max,,,Conduct. (S/cm),,Power Factor*T (W/mK),Cell Volume (A^3),Formula Units per Cell,Atoms per formula unit,total atoms per unit cell,average atomic volume,temp of ICSD (K),S,ke/ktotal,
700,0.85,0.003167,-231,1.18E+00,0.14735291,23.73,-50.67,1.68E-03,0.322249944,3.66,0.61,0.14735291,0.14735291,3.16E+02,0.14735291,1.18E+00,258.55,4,3,12,21.54583333,300,5.34E+04,0.14735291,0.14735291
300,0.85,0.00082,-107,4.19E-01,0.126085159,23.73,-50.67,1.40E-03,0.059161844,7.08,0.61,0.126085159,0.126085159,1.22E+03,0.126085159,4.19E-01,258.55,4,3,12,21.54583333,300,1.14E+04,0.126085159,0.126085159
400,0.85,0.000902,-149,9.85E-01,0.213420101,23.73,-50.67,2.46E-03,0.194186052,5.07,0.61,0.213420101,0.213420101,1.11E+03,0.213420101,9.85E-01,258.55,4,3,12,21.54583333,300,2.22E+04,0.213420101,0.213420101
700,0.85,0.001575,-217,2.09E+00,0.329618372,23.73,-50.67,2.99E-03,0.636122931,3.29,0.61,0.329618372,0.329618372,6.35E+02,0.329618372,2.09E+00,258.55,4,3,12,21.54583333,300,4.71E+04,0.329618372,0.329618372
300,0.85,0.000488,-76.6,3.61E-01,0.243506494,23.73,-50.67,1.20E-03,0.058556925,6.16,0.61,0.243506494,0.243506494,2.05E+03,0.243506494,3.61E-01,258.55,4,3,12,21.54583333,300,5.87E+03,0.243506494,0.243506494
400,0.85,0.000541,-101,7.54E-01,0.379005576,23.73,-50.67,1.89E-03,0.15845229,4.76,0.61,0.379005576,0.379005576,1.85E+03,0.379005576,7.54E-01,258.55,4,3,12,21.54583333,300,1.02E+04,0.379005576,0.379005576
700,0.85,0.000929,-153,1.76E+00,0.520831745,23.73,-50.67,2.52E-03,0.499678292,3.53,0.61,0.520831745,0.520831745,1.08E+03,0.520831745,1.76E+00,258.55,4,3,12,21.54583333,300,2.34E+04,0.520831745,0.520831745
300,0.85,0.000369,-67.7,3.73E-01,0.302861044,23.73,-50.67,1.24E-03,0.056889344,6.55,0.61,0.302861044,0.302861044,2.71E+03,0.302861044,3.73E-01,258.55,4,3,12,21.54583333,300,4.58E+03,0.302861044,0.302861044
400,0.85,0.000396,-83.5,7.04E-01,0.455572359,23.73,-50.67,1.76E-03,0.130178868,5.41,0.61,0.455572359,0.455572359,2.53E+03,0.455572359,7.04E-01,258.55,4,3,12,21.54583333,300,6.97E+03,0.455572359,0.455572359
700,0.85,0.000621,-121.2,1.66E+00,0.641119482,23.73,-50.67,2.37E-03,0.385970744,4.29,0.61,0.641119482,0.641119482,1.61E+03,0.641119482,1.66E+00,258.55,4,3,12,21.54583333,300,1.47E+04,0.641119482,0.641119482
300,0.85,0.00033,-61,3.38E-01,0.338653713,23.73,-50.67,1.13E-03,0.051644691,6.55,0.61,0.338653713,0.338653713,3.03E+03,0.338653713,3.38E-01,258.55,4,3,12,21.54583333,300,3.72E+03,0.338653713,0.338653713
400,0.85,0.000348,-78.6,7.10E-01,0.493767201,23.73,-50.67,1.78E-03,0.125019427,5.68,0.61,0.493767201,0.493767201,2.87E+03,0.493767201,7.10E-01,258.55,4,3,12,21.54583333,300,6.18E+03,0.493767201,0.493767201
700,0.85,0.000569,-125,1.92E+00,0.682217607,23.73,-50.67,2.75E-03,0.436870906,4.4,0.61,0.682217607,0.682217607,1.76E+03,0.682217607,1.92E+00,258.55,4,3,12,21.54583333,300,1.56E+04,0.682217607,0.682217607
300,0.85,1.52E-03,-82.9,1.36E-01,0.067542629,23.73,-50.67,4.52E-04,0.019023797,7.13,0.61,0.067542629,0.067542629,6.58E+02,0.067542629,1.36E-01,258.55,4,3,12,21.54583333,300,6.87E+03,0.067542629,0.067542629
400,0.85,1.21E-03,-110.3,4.02E-01,0.143270261,23.73,-50.67,1.01E-03,0.07143602,5.63,0.61,0.143270261,0.143270261,8.26E+02,0.143270261,4.02E-01,258.55,4,3,12,21.54583333,300,1.22E+04,0.143270261,0.143270261
700,0.85,1.25E-03,-174.9,1.72E+00,0.38046868,23.73,-50.67,2.45E-03,0.476989374,3.6,0.61,0.38046868,0.38046868,8.02E+02,0.38046868,1.72E+00,258.55,4,3,12,21.54583333,300,3.06E+04,0.38046868,0.38046868
1000,0.85,1.86E-03,-212.3,2.43E+00,0.477798992,23.73,-50.67,2.43E-03,0.88258266,2.75,0.61,0.477798992,0.477798992,5.39E+02,0.477798992,2.43E+00,258.55,4,3,12,21.54583333,300,4.51E+04,0.477798992,0.477798992
300,0.85,1.50E-03,-83,1.38E-01,0.163758389,23.73,-50.67,4.59E-04,0.046234899,2.98,0.61,0.163758389,0.163758389,6.67E+02,0.163758389,1.38E-01,258.35,4,3,12,21.52916667,300,6.89E+03,0.163758389,0.163758389
400,0.85,1.27E-03,-117.5,4.35E-01,0.293322113,23.73,-50.67,1.09E-03,0.165970427,2.62,0.61,0.293322113,0.293322113,7.87E+02,0.293322113,4.35E-01,258.35,4,3,12,21.52916667,300,1.38E+04,0.293322113,0.293322113
700,0.85,1.37E-03,-176.2,1.59E+00,0.642636767,23.73,-50.67,2.27E-03,0.817687862,1.94,0.61,0.642636767,0.642636767,7.30E+02,0.642636767,1.59E+00,258.35,4,3,12,21.52916667,300,3.10E+04,0.642636767,0.642636767
1000,0.85,2.20E-03,-187.7,1.60E+00,0.641093011,23.73,-50.67,1.60E-03,0.925677614,1.73,0.61,0.641093011,0.641093011,4.55E+02,0.641093011,1.60E+00,258.35,4,3,12,21.52916667,300,3.52E+04,0.641093011,0.641093011
300,0.85,1.24,26,1.64E-05,7.54E-05,23.73,-50.67,5.45E-08,2.09E-06,7.83,0.61,7.54E-05,7.54E-05,8.06E-01,7.54E-05,1.64E-05,258.55,4,3,12,21.54583333,300,6.76E+02,7.54E-05,7.54E-05
400,0.85,0.413,178,3.07E-03,0.000389966,23.73,-50.67,7.67E-06,0.000506381,6.06,0.61,0.000389966,0.000389966,2.42E+00,0.000389966,3.07E-03,258.55,4,3,12,21.54583333,300,3.17E+04,0.000389966,0.000389966
700,0.85,0.0397,149,3.91E-02,0.011722798,23.73,-50.67,5.59E-05,0.010666305,3.67,0.61,0.011722798,0.011722798,2.52E+01,0.011722798,3.91E-02,258.55,4,3,12,21.54583333,300,2.22E+04,0.011722798,0.011722798
1000,0.85,6.60E-03,192,5.59E-01,0.116992712,23.73,-50.67,5.59E-04,0.176754891,3.16,0.61,0.116992712,0.116992712,1.52E+02,0.116992712,5.59E-01,258.55,4,3,12,21.54583333,300,3.69E+04,0.116992712,0.116992712
300,0.85,0.0513,30.42,5.41E-04,0.003471778,23.73,-50.67,1.80E-06,0.000131668,4.11,0.61,0.003471778,0.003471778,1.95E+01,0.003471778,5.41E-04,258.35,4,3,12,21.52916667,300,9.25E+02,0.003471778,0.003471778
400,0.85,0.0284,157.9,3.51E-02,0.011121747,23.73,-50.67,8.78E-05,0.011364424,3.09,0.61,0.011121747,0.011121747,3.52E+01,0.011121747,3.51E-02,258.35,4,3,12,21.52916667,300,2.49E+04,0.011121747,0.011121747
700,0.85,0.0149,318.8,4.77E-01,0.044603452,23.73,-50.67,6.82E-04,0.185786979,2.57,0.61,0.044603452,0.044603452,6.71E+01,0.044603452,4.77E-01,258.35,4,3,12,21.52916667,300,1.02E+05,0.044603452,0.044603452
1000,0.85,5.44E-03,224,9.22E-01,0.128887762,23.73,-50.67,9.22E-04,0.265043949,3.48,0.61,0.128887762,0.128887762,1.84E+02,0.128887762,9.22E-01,258.35,4,3,12,21.52916667,300,5.02E+04,0.128887762,0.128887762
300,0.85,0.2544,388,1.78E-02,0.014386792,23.73,-50.67,5.92E-05,0.088764151,0.2,0.61,0.014386792,0.014386792,3.93E+00,0.014386792,1.78E-02,4758.66,6,29,174,27.34862069,300,1.51E+05,0.014386792,0.014386792
400,0.85,0.0832,327,5.14E-02,0.055860806,23.73,-50.67,1.29E-04,0.244800824,0.21,0.61,0.055860806,0.055860806,1.20E+01,0.055860806,5.14E-02,4758.66,6,29,174,27.34862069,300,1.07E+05,0.055860806,0.055860806
700,0.85,0.0264,311,2.56E-01,0.323484848,23.73,-50.67,3.66E-04,1.282285985,0.2,0.61,0.323484848,0.323484848,3.79E+01,0.323484848,2.56E-01,4758.66,6,29,174,27.34862069,300,9.67E+04,0.323484848,0.323484848
300,0.85,0.0042,219,3.43E-01,0.034240808,23.73,-50.67,1.14E-03,0.067304238,5.09,0.61,0.034240808,0.034240808,2.38E+02,0.034240808,3.43E-01,1045.95,4,8,32,32.6859375,294,4.80E+04,0.034240808,0.034240808
300,0.85,0.02314,285,1.05E-01,0.003487711,23.73,-50.67,3.51E-04,0.011610217,9.07,0.61,0.003487711,0.003487711,4.32E+01,0.003487711,1.05E-01,2027.01,8,8,64,31.67203125,300,8.12E+04,0.003487711,0.003487711
300,0.85,0.00433,163,1.84E-01,0.025044906,23.73,-50.67,6.14E-04,0.027271234,6.75,0.61,0.025044906,0.025044906,2.31E+02,0.025044906,1.84E-01,1045.95,4,8,32,32.6859375,294,2.66E+04,0.025044906,0.025044906
300,0.85,0.00321,145,1.97E-01,0.91,23.73,-50.67,6.55E-04,0.20,4.22,0.61,0.91,0.91,3.12E+02,0.91,1.97E-01,1045.95,4,8,32,32.6859375,294,2.10E+04,0.91,0.91
300,0.85,0.0129,-320,2.38E-01,0.070054551,23.73,-50.67,7.94E-04,0.293999426,0.81,0.61,0.070054551,0.070054551,7.75E+01,0.070054551,2.38E-01,1233.18,1,48,48,25.69125,295,1.02E+05,0.070054551,0.070054551
300,0.85,0.00262,-154,2.72E-01,0.229760948,23.73,-50.67,9.05E-04,0.223320108,1.216,0.61,0.229760948,0.229760948,3.82E+02,0.229760948,2.72E-01,1233.18,1,48,48,25.69125,295,2.37E+04,0.229760948,0.229760948
300,0.85,0.00194,-128,2.53E-01,0.355961875,23.73,-50.67,8.45E-04,0.239019646,1.06,0.61,0.355961875,0.355961875,5.15E+02,0.355961875,2.53E-01,1233.18,1,48,48,25.69125,295,1.64E+04,0.355961875,0.355961875
300,0.85,0.002817,149,2.36E-01,0.129925453,23.73,-50.67,7.88E-04,0.118216187,2,0.61,0.129925453,0.129925453,3.55E+02,0.129925453,2.36E-01,1254.12,1,54,54,23.22444444,300,2.22E+04,0.129925453,0.129925453
400,0.85,0.003049,185,4.49E-01,0.160052476,23.73,-50.67,1.12E-03,0.224499836,2,0.61,0.160052476,0.160052476,3.28E+02,0.160052476,4.49E-01,1254.12,1,54,54,23.22444444,300,3.42E+04,0.160052476,0.160052476
700,0.85,0.00463,288,1.25E+00,0.184449244,23.73,-50.67,1.79E-03,0.627006479,2,0.61,0.184449244,0.184449244,2.16E+02,0.184449244,1.25E+00,1254.12,1,54,54,23.22444444,300,8.29E+04,0.184449244,0.184449244
1000,0.85,0.00625,289,1.34E+00,0.1952,23.73,-50.67,1.34E-03,0.668168,2,0.61,0.1952,0.1952,1.60E+02,0.1952,1.34E+00,1254.12,1,54,54,23.22444444,300,8.35E+04,0.1952,0.1952
300,0.85,0.007764,-78.9,2.41E-02,0.062854199,23.73,-50.67,8.02E-05,0.01603609,1.5,0.61,0.062854199,0.062854199,1.29E+02,0.062854199,2.41E-02,1254.12,1,54,54,23.22444444,300,6.23E+03,0.062854199,0.062854199
400,0.85,0.007143,-112.9,7.14E-02,0.097598048,23.73,-50.67,1.78E-04,0.05098462,1.4,0.61,0.097598048,0.097598048,1.40E+02,0.097598048,7.14E-02,1254.12,1,54,54,23.22444444,300,1.27E+04,0.097598048,0.097598048
700,0.85,0.007418,-219,4.53E-01,0.209318856,23.73,-50.67,6.47E-04,0.411440231,1.1,0.61,0.209318856,0.209318856,1.35E+02,0.209318856,4.53E-01,1254.12,1,54,54,23.22444444,300,4.80E+04,0.209318856,0.209318856
1000,0.85,0.00735,-266,9.63E-01,0.331972789,23.73,-50.67,9.63E-04,0.962666667,1,0.61,0.331972789,0.331972789,1.36E+02,0.331972789,9.63E-01,1254.12,1,54,54,23.22444444,300,7.08E+04,0.331972789,0.331972789
300,0.85,0.0111,-188.6,9.61E-02,0.91,23.73,-50.67,3.20E-04,0.20,4.22,0.61,0.91,0.91,9.01E+01,0.91,9.61E-02,1595.46,1,54,54,29.54555556,300,3.56E+04,0.91,0.91
400,0.85,0.0115,-233,1.89E-01,0.91,23.73,-50.67,4.72E-04,0.20,4.22,0.61,0.91,0.91,8.70E+01,0.91,1.89E-01,1595.46,1,54,54,29.54555556,300,5.43E+04,0.91,0.91
700,0.85,0.00694,-138,1.92E-01,0.91,23.73,-50.67,2.74E-04,0.20,4.22,0.61,0.91,0.91,1.44E+02,0.91,1.92E-01,1595.46,1,54,54,29.54555556,300,1.90E+04,0.91,0.91
300,0.85,0.000786,-71.9,1.97E-01,0.91,23.73,-50.67,6.58E-04,0.20,4.22,0.61,0.91,0.91,1.27E+03,0.91,1.97E-01,1233.18,1,54,54,22.83666667,295,5.17E+03,0.91,0.91
400,0.85,0.000914,-94.9,3.94E-01,0.91,23.73,-50.67,9.85E-04,0.20,4.22,0.61,0.91,0.91,1.09E+03,0.91,3.94E-01,1233.18,1,54,54,22.83666667,295,9.01E+03,0.91,0.91
700,0.85,0.00141,-139,9.59E-01,0.91,23.73,-50.67,1.37E-03,0.20,4.22,0.61,0.91,0.91,7.09E+02,0.91,9.59E-01,1233.18,1,54,54,22.83666667,295,1.93E+04,0.91,0.91
300,0.85,0.000669,-62,1.72E-01,0.91,23.73,-50.67,5.75E-04,0.20,4.22,0.61,0.91,0.91,1.49E+03,0.91,1.72E-01,1254.12,1,54,54,23.22444444,300,3.84E+03,0.91,0.91
400,0.85,0.00084,-100.8,4.84E-01,0.91,23.73,-50.67,1.21E-03,0.20,4.22,0.61,0.91,0.91,1.19E+03,0.91,4.84E-01,1254.12,1,54,54,23.22444444,300,1.02E+04,0.91,0.91
700,0.85,0.00141,-186,1.72E+00,0.91,23.73,-50.67,2.45E-03,0.20,4.22,0.61,0.91,0.91,7.09E+02,0.91,1.72E+00,1254.12,1,54,54,23.22444444,300,3.46E+04,0.91,0.91
300,0.85,0.00122,-49.3,5.98E-02,0.91,23.73,-50.67,1.99E-04,0.20,4.22,0.61,0.91,0.91,8.20E+02,0.91,5.98E-02,1254.12,1,54,54,23.22444444,300,2.43E+03,0.91,0.91
400,0.85,0.00133,-62.8,1.19E-01,0.91,23.73,-50.67,2.97E-04,0.20,4.22,0.61,0.91,0.91,7.52E+02,0.91,1.19E-01,1254.12,1,54,54,23.22444444,300,3.94E+03,0.91,0.91
700,0.85,0.00187,-111,4.61E-01,0.91,23.73,-50.67,6.59E-04,0.20,4.22,0.61,0.91,0.91,5.35E+02,0.91,4.61E-01,1254.12,1,54,54,23.22444444,300,1.23E+04,0.91,0.91
300,0.85,0.001623,-89,1.46E-01,0.100225919,23.73,-50.67,4.88E-04,0.032536455,4.5,0.61,0.100225919,0.100225919,6.16E+02,0.100225919,1.46E-01,258.55,4,3,12,21.54583333,300,7.92E+03,0.102259,0.100225919
400,0.85,0.001976,-189,7.23E-01,0.123481781,23.73,-50.67,1.81E-03,0.180774291,4,0.61,0.123481781,0.123481781,5.06E+02,0.123481781,7.23E-01,258.55,4,3,12,21.54583333,300,3.57E+04,0.12348,0.123481781
700,0.85,0.003802,-267,1.31E+00,0.138226844,23.73,-50.67,1.88E-03,0.403854651,3.25,0.61,0.138226844,0.138226844,2.63E+02,0.138226844,1.31E+00,258.55,4,3,12,21.54583333,300,7.13E+04,0.13822,0.138226844
300,0.85,0.001037,-74.8,1.62E-01,0.12605042,23.73,-50.67,5.40E-04,0.028903981,5.6,0.61,0.12605042,0.12605042,9.64E+02,0.12605042,1.62E-01,258.55,4,3,12,21.54583333,300,5.60E+03,0.12605,0.12605042
400,0.85,0.00115,-94.8,3.13E-01,0.173203194,23.73,-50.67,7.81E-04,0.063794428,4.9,0.61,0.173203194,0.173203194,8.70E+02,0.173203194,3.13E-01,258.55,4,3,12,21.54583333,300,8.99E+03,0.173203,0.173203194
700,0.85,0.002554,-153,6.42E-01,0.17598813,23.73,-50.67,9.17E-04,0.168840415,3.8,0.61,0.17598813,0.17598813,3.92E+02,0.17598813,6.42E-01,258.55,4,3,12,21.54583333,300,2.34E+04,0.175988,0.17598813
300,0.85,0.002117,-61,5.27E-02,0.066494677,23.73,-50.67,1.76E-04,0.010140438,5.2,0.61,0.066494677,0.066494677,4.72E+02,0.066494677,5.27E-02,258.55,4,3,12,21.54583333,300,3.72E+03,0.06649,0.066494677
400,0.85,0.002141,-74,1.02E-01,0.096991861,23.73,-50.67,2.56E-04,0.021767518,4.7,0.61,0.096991861,0.096991861,4.67E+02,0.096991861,1.02E-01,258.55,4,3,12,21.54583333,300,5.48E+03,0.0969918,0.096991861
700,0.85,0.002751,-130,4.30E-01,0.163385563,23.73,-50.67,6.14E-04,0.113164591,3.8,0.61,0.163385563,0.163385563,3.64E+02,0.163385563,4.30E-01,258.55,4,3,12,21.54583333,300,1.69E+04,0.163385,0.163385563
300,0.85,0.001218,-178,7.80E-01,0.082894513,23.73,-50.67,2.60E-03,0.107640564,7.25,0.61,0.082894513,0.082894513,8.21E+02,0.082894513,7.80E-01,258.55,4,3,12,21.54583333,300,3.17E+04,0.082894,0.082894513
400,0.85,0.00173,-205,9.72E-01,0.091733634,23.73,-50.67,2.43E-03,0.157996146,6.15,0.61,0.091733634,0.091733634,5.78E+02,0.091733634,9.72E-01,258.55,4,3,12,21.54583333,300,4.20E+04,0.091733,0.091733634
700,0.85,0.004125,-282.6,1.36E+00,0.135757576,23.73,-50.67,1.94E-03,0.444343225,3.05,0.61,0.135757576,0.135757576,2.42E+02,0.135757576,1.36E+00,258.55,4,3,12,21.54583333,300,7.99E+04,0.13575,0.135757576
300,0.85,0.001,90,2.43E-01,0.754639175,23.73,-50.67,8.10E-04,0.250515464,0.97,0.61,0.754639175,0.754639175,1.00E+03,0.754639175,2.43E-01,184.61,4,3,12,15.38416667,293,8.10E+03,0.754639,0.754639175
400,0.85,0.00161,107,2.84E-01,0.582895366,23.73,-50.67,7.11E-04,0.273506928,1.04,0.61,0.582895366,0.582895366,6.21E+02,0.582895366,2.84E-01,184.61,4,3,12,15.38416667,293,1.14E+04,0.58289,0.582895366
700,0.85,0.0042,201,6.73E-01,0.444444444,23.73,-50.67,9.62E-04,0.735901639,0.915,0.61,0.444444444,0.444444444,2.38E+02,0.444444444,6.73E-01,184.61,4,3,12,15.38416667,293,4.04E+04,0.444444,0.444444444
1000,0.85,0.0078,297,1.13E+00,0.419893306,23.73,-50.67,1.13E-03,1.517965927,0.745,0.61,0.419893306,0.419893306,1.28E+02,0.419893306,1.13E+00,184.61,4,3,12,15.38416667,293,8.82E+04,0.41989,0.419893306
300,0.85,0.000605,62.4,1.93E-01,0.967933884,23.73,-50.67,6.44E-04,0.154463207,1.25,0.61,0.967933884,0.967933884,1.65E+03,0.967933884,1.93E-01,184.61,4,3,12,15.38416667,293,3.89E+03,0.9679338,0.967933884
400,0.85,0.000719,64.2,2.29E-01,0.784647913,23.73,-50.67,5.73E-04,0.132542468,1.73,0.61,0.784647913,0.784647913,1.39E+03,0.784647913,2.29E-01,184.61,4,3,12,15.38416667,293,4.12E+03,0.78464,0.784647913
700,0.85,0.00151,129,7.71E-01,0.780086778,23.73,-50.67,1.10E-03,0.532025577,1.45,0.61,0.780086778,0.780086778,6.62E+02,0.780086778,7.71E-01,184.61,4,3,12,15.38416667,293,1.66E+04,0.78008,0.780086778
1000,0.85,0.00325,201.5,1.25E+00,0.739674119,23.73,-50.67,1.25E-03,1.230837438,1.015,0.61,0.739674119,0.739674119,3.08E+02,0.739674119,1.25E+00,184.61,4,3,12,15.38416667,293,4.06E+04,0.73967,0.739674119
300,0.85,0.001971,125.5,2.40E-01,0.105807716,23.73,-50.67,7.99E-04,0.068299098,3.51,0.61,0.105807716,0.105807716,5.07E+02,0.105807716,2.40E-01,147.11,2,6.77,13.54,10.8648449,300,1.58E+04,0.1058,0.105807716
400,0.85,0.002172,152,4.25E-01,0.130474864,23.73,-50.67,1.06E-03,0.123544724,3.444,0.61,0.130474864,0.130474864,4.60E+02,0.130474864,4.25E-01,147.11,2,6.77,13.54,10.8648449,300,2.31E+04,0.13047,0.130474864
700,0.85,0.002313,197,1.17E+00,0.234423788,23.73,-50.67,1.68E-03,0.372858721,3.15,0.61,0.234423788,0.234423788,4.32E+02,0.234423788,1.17E+00,147.11,2,6.77,13.54,10.8648449,300,3.88E+04,0.234423,0.234423788
1000,0.85,0.002271,245,2.64E+00,0.378715741,23.73,-50.67,2.64E-03,0.931656243,2.837,0.61,0.378715741,0.378715741,4.40E+02,0.378715741,2.64E+00,147.11,2,6.77,13.54,10.8648449,300,6.00E+04,0.378715,0.378715741
300,0.85,0.01067,117,3.85E-02,0.034301781,23.73,-50.67,1.28E-04,0.019244142,2,0.61,0.034301781,0.034301781,9.37E+01,0.034301781,3.85E-02,147.11,2,6.77,13.54,10.8648449,300,1.37E+04,0.0343,0.034301781
400,0.85,0.01122,121,5.22E-02,0.045782906,23.73,-50.67,1.30E-04,0.02747162,1.9,0.61,0.045782906,0.045782906,8.91E+01,0.045782906,5.22E-02,147.11,2,6.77,13.54,10.8648449,300,1.46E+04,0.04578,0.045782906
700,0.85,0.009901,147,1.53E-01,0.095837682,23.73,-50.67,2.18E-04,0.084875265,1.8,0.61,0.095837682,0.095837682,1.01E+02,0.095837682,1.53E-01,147.11,2,6.77,13.54,10.8648449,300,2.16E+04,0.095837,0.095837682
1000,0.85,0.008968,177,3.49E-01,0.155473429,23.73,-50.67,3.49E-04,0.19962406,1.75,0.61,0.155473429,0.155473429,1.12E+02,0.155473429,3.49E-01,147.11,2,6.77,13.54,10.8648449,300,3.13E+04,0.15547,0.155473429
300,0.85,0.00813,117,5.05E-02,0.04501845,23.73,-50.67,1.68E-04,0.025256458,2,0.61,0.04501845,0.04501845,1.23E+02,0.04501845,5.05E-02,147.11,2,6.77,13.54,10.8648449,300,1.37E+04,0.045018,0.04501845
400,0.85,0.005294,125.6,1.19E-01,0.097031396,23.73,-50.67,2.98E-04,0.06273382,1.9,0.61,0.097031396,0.097031396,1.89E+02,0.097031396,1.19E-01,147.11,2,6.77,13.54,10.8648449,300,1.58E+04,0.0970314,0.097031396
700,0.85,0.008006,153.6,2.06E-01,0.106669998,23.73,-50.67,2.95E-04,0.103141844,2,0.61,0.106669998,0.106669998,1.25E+02,0.106669998,2.06E-01,147.11,2,6.77,13.54,10.8648449,300,2.36E+04,0.10667,0.106669998
1000,0.85,0.007283,184,4.65E-01,0.163427695,23.73,-50.67,4.65E-04,0.226762625,2.05,0.61,0.163427695,0.163427695,1.37E+02,0.163427695,4.65E-01,147.11,2,6.77,13.54,10.8648449,300,3.39E+04,0.16343,0.163427695
300,0.85,0.01035,135.4,5.31E-02,0.035362319,23.73,-50.67,1.77E-04,0.026569797,2,0.61,0.035362319,0.035362319,9.66E+01,0.035362319,5.31E-02,147.11,2,6.77,13.54,10.8648449,300,1.83E+04,0.03536,0.035362319
400,0.85,0.010156,140.8,7.81E-02,0.050579383,23.73,-50.67,1.95E-04,0.041095002,1.9,0.61,0.050579383,0.050579383,9.85E+01,0.050579383,7.81E-02,147.11,2,6.77,13.54,10.8648449,300,1.98E+04,0.050579,0.050579383
700,0.85,0.009095,169,2.20E-01,0.093897746,23.73,-50.67,3.14E-04,0.10991039,2,0.61,0.093897746,0.093897746,1.10E+02,0.093897746,2.20E-01,147.11,2,6.77,13.54,10.8648449,300,2.86E+04,0.09389,0.093897746
1000,0.85,0.007831,196.8,4.95E-01,0.151991304,23.73,-50.67,4.95E-04,0.241256545,2.05,0.61,0.151991304,0.151991304,1.28E+02,0.151991304,4.95E-01,147.11,2,6.77,13.54,10.8648449,300,3.87E+04,0.15199,0.151991304
300,0.85,0.009357,132,5.59E-02,0.039115101,23.73,-50.67,1.86E-04,0.027932029,2,0.61,0.039115101,0.039115101,1.07E+02,0.039115101,5.59E-02,147.11,2,6.77,13.54,10.8648449,300,1.74E+04,0.039115,0.039115101
400,0.85,0.009225,144.6,9.07E-02,0.055683925,23.73,-50.67,2.27E-04,0.047717381,1.9,0.61,0.055683925,0.055683925,1.08E+02,0.055683925,9.07E-02,147.11,2,6.77,13.54,10.8648449,300,2.09E+04,0.055684,0.055683925
700,0.85,0.008503,173,2.46E-01,0.111594601,23.73,-50.67,3.52E-04,0.136881754,1.8,0.61,0.111594601,0.111594601,1.18E+02,0.111594601,2.46E-01,147.11,2,6.77,13.54,10.8648449,300,2.99E+04,0.11159,0.111594601
1000,0.85,0.007622,205,5.51E-01,0.182929115,23.73,-50.67,5.51E-04,0.315065412,1.75,0.61,0.182929115,0.182929115,1.31E+02,0.182929115,5.51E-01,147.11,2,6.77,13.54,10.8648449,300,4.20E+04,0.182929,0.182929115
300,0.85,0.000878,-92.5,2.92E-01,0.119101855,23.73,-50.67,9.75E-04,0.041764969,7,0.61,0.119101855,0.119101855,1.14E+03,0.119101855,2.92E-01,59.36,1,5,5,11.872,300,8.56E+03,0.1191,0.119101855
400,0.85,0.001259,-119.5,4.54E-01,0.129203071,23.73,-50.67,1.13E-03,0.075616892,6,0.61,0.129203071,0.129203071,7.94E+02,0.129203071,4.54E-01,59.36,1,5,5,11.872,300,1.43E+04,0.1292,0.129203071
700,0.85,0.00344,-185.3,6.99E-01,0.099302326,23.73,-50.67,9.98E-04,0.139739901,5,0.61,0.099302326,0.099302326,2.91E+02,0.099302326,6.99E-01,59.36,1,5,5,11.872,300,3.43E+04,0.0993,0.099302326
1000,0.85,0.006614,-228,7.86E-01,0.081980983,23.73,-50.67,7.86E-04,0.174659813,4.5,0.61,0.081980983,0.081980983,1.51E+02,0.081980983,7.86E-01,59.36,1,5,5,11.872,300,5.20E+04,0.0819,0.081980983
300,0.85,0.0004937,-82.2,4.11E-01,0.36429528,23.73,-50.67,1.37E-03,0.10088053,4.07,0.61,0.36429528,0.36429528,2.03E+03,0.36429528,4.11E-01,59.36,1,5,5,11.872,300,6.76E+03,0.36429,0.36429528
400,0.85,0.0007634,-101.4,5.39E-01,0.380503262,23.73,-50.67,1.35E-03,0.160340956,3.36,0.61,0.380503262,0.380503262,1.31E+03,0.380503262,5.39E-01,59.36,1,5,5,11.872,300,1.03E+04,0.3805,0.380503262
700,0.85,0.00273,-163,6.81E-01,0.327560746,23.73,-50.67,9.73E-04,0.356678749,1.91,0.61,0.327560746,0.327560746,3.66E+02,0.327560746,6.81E-01,59.36,1,5,5,11.872,300,2.66E+04,0.3275,0.327560746
300,0.85,0.5868,294.8,4.44E-03,0.91,23.73,-50.67,1.48E-05,0.20,4.22,0.61,0.91,0.91,1.70E+00,0.91,4.44E-03,140.56,3,4,12,11.71333333,300,8.69E+04,0.91,0.91
400,0.85,0.2193,275.3,1.38E-02,0.91,23.73,-50.67,3.46E-05,0.20,4.22,0.61,0.91,0.91,4.56E+00,0.91,1.38E-02,140.56,3,4,12,11.71333333,300,7.58E+04,0.91,0.91
700,0.85,0.1023,292.4,5.85E-02,0.91,23.73,-50.67,8.36E-05,0.20,4.22,0.61,0.91,0.91,9.78E+00,0.91,5.85E-02,140.56,3,4,12,11.71333333,300,8.55E+04,0.91,0.91
1000,0.85,0.1066,317,9.43E-02,0.91,23.73,-50.67,9.43E-05,0.20,4.22,0.61,0.91,0.91,9.38E+00,0.91,9.43E-02,140.56,3,4,12,11.71333333,300,1.00E+05,0.91,0.91
